r,v,T,Re
0.007070707070707071,0.1132593854432971,5.0,1749.9034485037012
0.0008080808080808081,0.1587582833810993,5.0,1741.9642521666551
0.0019191919191919192,0.15316557467582856,5.0,1780.331210224099
0.005858585858585858,0.14748392086516737,5.0,1746.9059663070175
0.0017171717171717172,0.15039321523518864,5.0,1744.9160082406127
0.008888888888888889,0.10154649300012794,5.0,1731.8015352098944
0.00898989898989899,0.09586445783190192,5.0,1773.3920709784354
0.008787878787878787,0.13754350170479848,30.0,3416.097824533491
0.0038383838383838384,0.1225356168544577,30.0,3359.7672034852994
0.003333333333333333,0.14539713688697609,5.0,1753.8456007565696
0.004545454545454545,0.1468342690812859,5.0,1727.1331279191404
0.00909090909090909,0.14044169266136466,30.0,3362.4102981811607
0.0034343434343434343,0.15309021193443476,30.0,3350.306491263214
0.000505050505050505,0.1602445438377162,5.0,1767.8179288031474
0.00010101010101010101,0.13684282442951473,30.0,3371.823340465648
0.007575757575757576,0.11402662607555933,5.0,1760.4782426116938
0.0012121212121212121,0.14070037031252663,30.0,3396.997439545447
0.007474747474747474,0.14055707027662998,30.0,3371.7345789730143
0.004343434343434344,0.1365382811205162,5.0,1726.1546241345432
0.006666666666666666,0.11888932783658396,5.0,1738.689309354893
0.009292929292929294,0.09740744558357874,5.0,1754.2584528547652
0.008383838383838384,0.1081456262983082,5.0,1729.1427254574553
0.008585858585858586,0.10871480627181146,5.0,1766.909063143362
0.008282828282828282,0.11755259620954916,5.0,1742.2131263578615
0.00040404040404040404,0.14912816548311006,30.0,3242.5891215030956
0.004141414141414141,0.14673270070959263,30.0,3325.996255015502
0.006161616161616161,0.1315368099080534,5.0,1759.5409018292871
0.0013131313131313131,0.16228853622927097,5.0,1746.997916752833
0.008888888888888889,0.14576790637513928,30.0,3340.9183722291004
0.007272727272727273,0.12679421240632147,5.0,1784.1843817907554
0.0022222222222222222,0.15245570497500613,5.0,1747.3255073285188
0.0056565656565656566,0.12642558580814442,30.0,3198.2344698229463
0.00787878787878788,0.09583525615022095,5.0,1804.5258038737343
0.008282828282828282,0.13167516159389406,30.0,3360.8431188316163
0.008181818181818182,0.132247866100455,30.0,3324.253276750209
0.0014141414141414141,0.15813910867371092,5.0,1791.9122845409245
0.002525252525252525,0.13217856269348063,30.0,3358.5118961062053
0.0065656565656565654,0.13954685092772687,30.0,3184.2095193250916
0.005858585858585858,0.13648201234257193,30.0,3329.858911202358
0.009797979797979799,0.13448691769529064,30.0,3263.9498289760536
0.006262626262626263,0.12933034046157815,5.0,1748.2611491036325
0.002121212121212121,0.14913711299116686,30.0,3366.873445468734
0.00797979797979798,0.11584187626143455,5.0,1766.2593340517087
0.009797979797979799,0.07943606988370047,5.0,1757.5238609237801
0.0023232323232323234,0.13074509651025557,30.0,3394.078906830206
0.0026262626262626263,0.16348906678129846,5.0,1744.4081077228811
0.006060606060606061,0.1453138642424552,30.0,3342.0015206007456
0.0007070707070707071,0.16090339007901666,5.0,1762.497116689
0.0024242424242424242,0.13761638610096144,30.0,3205.9411387111077
0.0073737373737373735,0.11633712186437542,5.0,1746.5525216960907
0.008383838383838384,0.13997243076318502,30.0,3396.6018038365787
0.0052525252525252525,0.12377255580492343,30.0,3380.8941161773405
0.006464646464646465,0.11554772678869454,5.0,1777.447220170393
0.0018181818181818182,0.15843447210774844,5.0,1774.6100757883305
0.007676767676767677,0.13279762261071648,30.0,3403.455692542764
0.0031313131313131315,0.15025906884198986,30.0,3336.8613287820212
0.002525252525252525,0.14771348500894593,5.0,1741.552899332031
0.008686868686868687,0.15308991142910824,30.0,3395.4300226085675
0.009898989898989899,0.1468140351073701,30.0,3271.415315550338
0.004242424242424242,0.1426094051169822,30.0,3245.6768544457054
0.0031313131313131315,0.1541897046916036,5.0,1744.7925689147805
0.01,0.14301164781943806,30.0,3291.4620212589134
0.0009090909090909091,0.14059009935250674,30.0,3158.4337109506355
0.00404040404040404,0.13647248623514377,30.0,3359.226353657893
0.0065656565656565654,0.11345857226672393,5.0,1791.1816185195007
0.008585858585858586,0.14238577296851967,30.0,3366.8382772694526
0.008787878787878787,0.08912212462469814,5.0,1727.9891964728565
0.00030303030303030303,0.16251867686885613,5.0,1740.6519413621145
0.009595959595959595,0.14066244508103523,30.0,3444.3707002034325
0.0073737373737373735,0.13545182761939167,30.0,3327.2908478709123
0.004747474747474748,0.1581499249769591,5.0,1773.6667658944846
0.0015151515151515152,0.1396184630273097,30.0,3363.841112603854
0.0017171717171717172,0.14090253058280042,30.0,3333.798211878057
0.009494949494949495,0.14360279188467776,30.0,3289.6714573323784
0.002121212121212121,0.15045363406851753,5.0,1789.9979484312446
0.0069696969696969695,0.12643542206822886,30.0,3256.3254206500583
0.009696969696969697,0.1421547699875822,30.0,3374.2649786210472
0.007070707070707071,0.13230038735036104,30.0,3294.0419941096284
0.005555555555555556,0.12585218198602002,5.0,1765.5621445845945
0.0013131313131313131,0.1462407235382223,30.0,3270.256243564209
0.002929292929292929,0.1446964107128809,30.0,3281.577054428643
0.0026262626262626263,0.12797989202803436,30.0,3370.5996826136525
0.0028282828282828283,0.1415536512434471,5.0,1765.2736492436497
0.0023232323232323234,0.1421917868112667,5.0,1748.4825770961645
0.0006060606060606061,0.16586069690110894,5.0,1752.7100150100755
0.00010101010101010101,0.15647803689364792,5.0,1757.1850403263236
0.006666666666666666,0.11792635435479316,30.0,3356.7147881508304
0.0,0.15527012054977624,5.0,1747.0656108330181
0.0048484848484848485,0.1429174357583214,5.0,1734.3772294582022
0.007171717171717172,0.13885010244720078,5.0,1750.2593497299936
0.004545454545454545,0.14295640620484204,30.0,3371.8612467348053
0.004141414141414141,0.1363754720048844,5.0,1740.3823624386291
0.00797979797979798,0.13769782099864536,30.0,3340.7189973272402
0.005555555555555556,0.13472189660615655,30.0,3401.535367026702
0.007474747474747474,0.11492088926224728,5.0,1766.8486945249642
0.005151515151515152,0.14431094123724383,5.0,1760.7882405378896
0.009292929292929294,0.1427453615801521,30.0,3300.2429623879293
0.00101010101010101,0.16213412084804907,5.0,1762.777600848403
0.009191919191919192,0.09955564832453864,5.0,1738.8533671372734
0.0016161616161616162,0.1411688148209933,5.0,1747.283256006744
0.005757575757575757,0.14223211338292802,30.0,3227.820845751852
0.0022222222222222222,0.126994272325023,30.0,3276.9952415425882
0.004949494949494949,0.13872329945628734,5.0,1739.4162769450948
0.009898989898989899,0.10176227793309617,5.0,1770.2314077419578
0.0048484848484848485,0.14406661488088338,30.0,3284.4497422978507
0.00202020202020202,0.15517970676003282,5.0,1756.5720359322986
0.0012121212121212121,0.15459530869620042,5.0,1752.884779218066
0.006767676767676768,0.12900522474891907,5.0,1749.0996632954357
0.0036363636363636364,0.15466831935110142,5.0,1747.0364973555033
0.0024242424242424242,0.16794307515874934,5.0,1730.9833427451842
0.007575757575757576,0.14040834303040503,30.0,3329.812625197618
0.009393939393939394,0.07760458368508537,5.0,1739.4728576205375
0.0018181818181818182,0.13876876647089684,30.0,3411.6809145362404
0.0028282828282828283,0.1376667464914181,30.0,3270.7621440859816
0.0008080808080808081,0.1424828646662327,30.0,3350.567209567122
0.0027272727272727275,0.14455708862768563,5.0,1771.8709365768832
0.00040404040404040404,0.16171174801442217,5.0,1780.2721796560963
0.00787878787878788,0.1314656681332548,30.0,3259.159311541447
0.008686868686868687,0.1068139835853158,5.0,1738.8369226927878
0.0015151515151515152,0.15760272242501144,5.0,1731.9997657586887
